CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),City,Age_Group,Annual_Income_Group,Spending_Score_Group,Category_Group,Age_Segment
1,Male,19,15,39.0,New York,"(15, 25]","(12, 33]","(34, 51]",Careful,Young Adults
2,Male,21,15,81.0,Seattle,"(15, 25]","(12, 33]","(68, 85]",Centroid,Young Adults
3,Female,20,16,6.0,Los Angeles,"(15, 25]","(12, 33]","(0, 17]",Miser,Young Adults
4,Female,23,16,77.0,Chicago,"(15, 25]","(12, 33]","(68, 85]",Spendthrift,Young Adults
5,Female,31,17,40.0,Houston,"(25, 35]","(12, 33]","(34, 51]",Careful,Young Adults
6,Female,22,17,76.0,Phoenix,"(15, 25]","(12, 33]","(68, 85]",Spendthrift,Young Adults
7,Female,35,18,6.0,Philadelphia,"(25, 35]","(12, 33]","(0, 17]",Miser,Young Adults
8,Female,23,18,94.0,San Antonio,"(15, 25]","(12, 33]","(85, 102]",Centroid,Young Adults
9,Male,64,19,3.0,San Diego,"(55, 65]","(12, 33]","(0, 17]",Miser,Senior Adults
10,Female,30,19,72.0,New York,"(25, 35]","(12, 33]","(68, 85]",Spendthrift,Young Adults
11,Male,67,19,14.0,Seattle,"(65, 75]","(12, 33]","(0, 17]",Miser,Senior Adults
12,Female,35,19,99.0,Los Angeles,"(25, 35]","(12, 33]","(85, 102]",Centroid,Young Adults
13,Female,58,20,15.0,Chicago,"(55, 65]","(12, 33]","(0, 17]",Miser,Middle-Aged Adults
14,Female,24,20,77.0,Houston,"(15, 25]","(12, 33]","(68, 85]",Spendthrift,Young Adults
15,Male,37,20,13.0,Phoenix,"(35, 45]","(12, 33]","(0, 17]",Miser,Young Adults
16,Male,22,20,79.0,Philadelphia,"(15, 25]","(12, 33]","(68, 85]",Spendthrift,Young Adults
17,Female,35,21,35.0,San Antonio,"(25, 35]","(12, 33]","(34, 51]",Careful,Young Adults
18,Male,20,21,66.0,San Diego,"(15, 25]","(12, 33]","(51, 68]",Spendthrift,Young Adults
19,Male,52,23,29.0,Washington,"(45, 55]","(12, 33]","(17, 34]",General,Middle-Aged Adults
20,Female,35,23,98.0,Los Angeles,"(25, 35]","(12, 33]","(85, 102]",Centroid,Young Adults
21,Male,35,24,35.0,Chicago,"(25, 35]","(12, 33]","(34, 51]",Careful,Young Adults
22,Male,25,24,73.0,Houston,"(15, 25]","(12, 33]","(68, 85]",Spendthrift,Young Adults
23,Female,46,25,5.0,Phoenix,"(45, 55]","(12, 33]","(0, 17]",Miser,Middle-Aged Adults
24,Male,31,25,73.0,Philadelphia,"(25, 35]","(12, 33]","(68, 85]",Spendthrift,Young Adults
25,Female,54,28,14.0,San Antonio,"(45, 55]","(12, 33]","(0, 17]",Miser,Middle-Aged Adults
26,Male,29,28,82.0,San Diego,"(25, 35]","(12, 33]","(68, 85]",Centroid,Young Adults
27,Female,45,28,32.0,Washington,"(35, 45]","(12, 33]","(17, 34]",General,Middle-Aged Adults
